,Affinity,Compromise,Efficieny,Groups,Power,Run
0,NEW RUN,NEW RUN,NEW RUN,NEW RUN,NEW RUN,0
1,0.9255319148936169,0.1,1.1,Unaffiliated3,0.45,0
2,0.40425531914893614,0.1,1.1,Hasawna,1.3,0
3,0.19148936170212766,0.1,1.1,Saada2	,1.05,0
4,0.19148936170212766,0.1,1.1,Saada4,1.05,0
5,0.14893617021276595,0.1,1.1,Saada3,1.05,0
6,0.18085106382978722,0.1,1.1,Saada5,1.05,0
7,0.425531914893617,0.1,1.1,Unaffiliated7,1.15,0
8,0.4361702127659574,0.1,1.1,Unaffiliated9,1.3,0
9,0.3001628454480349,0.1,1.1,Saada14.Saada16.Saada15.Masamir		.Masimir	.al-Rahmana.al-Habun1	.al-Marirat		.al-Qunashat.Saada10.Saada13.Saada12.Al-Ubaidat1		.Ulum.Al-Ubaidat2		.Msika.Saada9.Saada11.Saada1	.Saada7.Saada6.Saada8,163.35000000000008,0
10,0.551640922531111,0.1,1.1,Marghara1.Zawayia9.Warfalla4.Zawayia10.Marghara2.Zawayia11.Sadat.Sabayi.Marghara3.Jmamla.Kargala.Warfalla5.Unaffiliated16	.Taureg5.Zawayia8.Taureg4.Zawayia1.Saada17.Unaffiliated14.Magariha.al-Mujabra.Saada18.Unaffiliated8.Beni Salim.Beni Salim2.Saada19.Zawayia2.Beni Hilal.Taureg1.Saada20.Saada21.Zawayia3.Taureg2.Kawar.Zawayia4.Gaddafi.Warfalla8.el-Mahjoub.Zawayia6.Zawayia5.Zawayia7.al-Jarsha.Taureg3.Warfalla6.Warfalla7,94.65499999999997,0
11,0.045212765957446804,0.1,1.1,Unaffiliated2.Tebu,1.1,0
12,0.9862629171420028,0.1,1.1,Unaffiliated10.Unaffiliated11.Unaffiliated1.Unaffiliated6.Unaffiliated15	.Unaffiliated18,9.9,0
13,0.8136412426806138,0.1,1.1,Zawaiya.Zawiya.Unaffiliated4.Warfalla1.Warfalla2.Warfalla3.Unaffiliated13.Matarfa2.Dababisa.Mtarfa1.Ramla.Unaffiliated17.Unaffiliated5.Warfalla14.Marghara11.Warfalla11.Kawafi.Marghara10.Marghara9.Warfalla12,38.555,0
14,0.6941758630815685,0.1,1.1,al-Sawalih.Marghara4.Unaffiliated12.Awlad Sulaiman.Marghara5.Warfalla9.Maslata.Masrata.Zamoura.Marghara8.al-Awaqir.Warfalla13.Magharha.Marghara6.Awlad Bu Saif.Warfalla10.Warfalla15.Marghara7.Tawajeer.Warfalla16.Warfalla17,46.91500000000001,0
15,NEW RUN,NEW RUN,NEW RUN,NEW RUN,NEW RUN,1
16,0.9893617021276596,0.1,1.2,Unaffiliated10,1.5,1
17,1.0,0.1,1.2,Unaffiliated11,1.4500000000000002,1
18,0.9893617021276596,0.1,1.2,Unaffiliated1,0.8,1
19,0.9893617021276596,0.1,1.2,Unaffiliated15	,1.65,1
20,0.9893617021276596,0.1,1.2,Unaffiliated18,2.25,1
21,0.30002234927546,0.1,1.2,Unaffiliated7.Unaffiliated9.Saada10.Saada13.Saada15.Hasawna.Masimir	.Msika.al-Marirat		.al-Qunashat.Saada9.Saada11.Saada14.Saada16.Saada12.Al-Ubaidat1		.Ulum.Al-Ubaidat2		.al-Habun1	.Masamir		.al-Rahmana.Saada1	.Saada7.Saada6.Saada8.Saada2	.Saada4.Saada3.Saada5,187.74000000000012,1
22,0.5566294546158007,0.1,1.2,el-Mahjoub.Zamoura.al-Sawalih.Marghara4.Marghara3.Jmamla.Kargala.Warfalla5.Marghara1.Zawayia9.Warfalla4.Zawayia10.Marghara2.Zawayia11.Sadat.Sabayi.Saada17.Unaffiliated14.Saada18.Unaffiliated8.Beni Salim.Beni Salim2.Magariha.al-Mujabra.Saada20.Zawayia3.Zawayia2.Taureg1.Kawar.Taureg2.Beni Hilal.Gaddafi.Saada19.Zawayia1.Saada21.Zawayia4.Unaffiliated16	.Taureg5.Zawayia8.Taureg4.al-Jarsha.Taureg3.Warfalla6.Warfalla7.Warfalla8.Zawayia5.Zawayia6.Zawayia7,108.83999999999996,1
23,0.760983928475737,0.1,1.2,Unaffiliated3.Unaffiliated6.Dababisa.Mtarfa1.Unaffiliated5.Kawafi.Ramla.Unaffiliated17.Unaffiliated4.Warfalla1.Zawaiya.Zawiya.Unaffiliated13.Matarfa2.Warfalla2.Warfalla3.Marghara9.Marghara11.Marghara10.Warfalla11.Warfalla12.Warfalla14.Warfalla13.Magharha.Marghara5.Warfalla9.Unaffiliated12.Awlad Sulaiman.Marghara6.Awlad Bu Saif.Maslata.Masrata.Marghara7.Tawajeer.Marghara8.al-Awaqir.Warfalla10.Warfalla15.Warfalla16.Warfalla17,89.82000000000001,1
24,0.045212765957446804,0.1,1.2,Unaffiliated2.Tebu,1.2,1
25,NEW RUN,NEW RUN,NEW RUN,NEW RUN,NEW RUN,2
26,0.06382978723404255,0.1,1.25,Unaffiliated2,0.65,2
27,0.010638297872340425,0.1,1.25,Tebu,0.35,2
28,1.0,0.1,1.25,Unaffiliated11,1.4500000000000002,2
29,0.29990268662912833,0.1,1.25,Saada6.Saada2	.Saada4.Saada3.Saada5.Masamir		.al-Rahmana.al-Marirat		.al-Qunashat.Saada10.Saada13.Saada15.Hasawna.Al-Ubaidat1		.Ulum.Al-Ubaidat2		.al-Habun1	.Masimir	.Msika.Saada9.Saada11.Saada1	.Saada7.Saada8.Saada12.Saada14.Saada16.Unaffiliated7.Unaffiliated9,195.5625000000001,2
